compound name	compound synonyms	target or activity of compound	gene symbol of protein target	status	tested concentrations	max conc for AUC
tamoxifen	tamoxifen citrate, tamoxifen, tamoxifen, tamoxifen citrate, TAMOXIFEN CITRATE...	modulator of estrogen receptors	ESR1;ESR2	approved	0.00300 - 100 uM	100
tandutinib	CT53518, MLN518, Tandutinib, tandutinib, BRD-K89162000	inhibitor of c-KIT and VEGFR3	FLT3;KIT	experimental	0.00200 - 66.0 uM	66
tanespimycin	17-allylamino-geldanamycin, 17-allylamino-geldanamycin, 17-allylamino-geldana...	inhibitor of HSP90	HSP90AA1	experimental	0.00100 - 33.0 uM	33
temozolomide	Temozolomide, BRD-K32107296	DNA alkylator		approved	0.00200 - 66.0 uM	66
temsirolimus	CCI-779, TEMSIROLIMUS, Torisel, BRD-K08177763	inhibitor of mTOR	MTOR	approved	0.00200 - 66.0 uM	66
teniposide	teniposide, vee M-26, EPT, VM-26, VM26, Vumon, Vehem, Vumon, BRD-A35588707	inhibitor of topoisomerase II	TOP2A;TOP2B	approved	0.00100 - 33.0 uM	33
TG-100-115	TG100-115, BRD-K64785675	inhibitor of PI3K catalytic subunits delta and gamma	PIK3CD;PIK3CG	experimental	0.00200 - 66.0 uM	66
TGX-221	PI 3-Kbeta inhibitor VI, BRD-A41692738	inhibitor of PI3K catalytic subunit beta	PIK3CB	probe	0.00200 - 66.0 uM	66
thalidomide	thalidomide, thalidomide, thalidomide, thalidomide, (+/-)-thalidomide, E-217,...	immunomodulatory drug; binder of cereblon	CRBN	approved	0.00200 - 66.0 uM	66
tigecycline	tigecycline, Tygacil, BRD-A34462049, BRD-K01825150	analog of tetracycline		approved	0.00200 - 66.0 uM	66
tipifarnib	tipifarnib-P2, Tipifarnib, Tipifarnib-P2, IND 58359, tipifarnib, R115777, Zarnestra, BRD-K62965247	inhibitor of farnesyltransferase	FNTA	probe	0.00100 - 33.0 uM	33
tipifarnib-P1	Tipifarnib-P1, BRD-K63195589	inhibitor of farnesyltransferase	FNTA	experimental	0.00100 - 33.0 uM	33
tivantinib	ARQ-197, ARQ 197, tivantinib, BRD-K33379087	inhibitor of MET; inhibitor of microtubule assembly	MET	experimental	0.00200 - 66.0 uM	66
vandetanib	ZD-6474, vandetanib, Vandetanib, ZD6474, Caprelsa, Zactima, BRD-K77625799	inhibitor of VEGFR2 and EGFR	EGFR;KDR	approved	0.00200 - 66.0 uM	66
veliparib	ABT-888, Veliparib, BRD-K87142802	inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)	PARP1;PARP2	experimental	0.00100 - 33.0 uM	33
vemurafenib	PLX-4032, RG-7204, RG7204, R7204, RO5185426, PLX-4032, BRD-K56343971	inhibitor of BRAF	BRAF	approved	0.00100 - 33.0 uM	33
VER-155008	VER155008, BRD-K32330832	inhibitor of HSP70	HSPA1A;HSPA1B;HSPA1L	probe	0.00110 - 37.0 uM	37
vincristine	BRD-K82109576	inhibitor of mictrotubule assembly		approved	0.00400 - 130 uM	130
vorapaxar	SCH 530348, vorapaxar, BRD-K93442924	antagonist of proteinase-activated receptor 1 (PAR1)	F2R	experimental	0.00200 - 66.0 uM	66
vorinostat	vorinostat, vorinostat, suberoylanilide hydroxamic acid, suberanilohydroxamic...	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"""	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	approved	0.00100 - 33.0 uM	33
voxtalisib analogue	BRD-K75308783	inhibitor of mTOR and PI3K kinase acitivities	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	experimental	0.00200 - 66.0 uM	66
VU0155056	BRD-K31406481	inhibitor of phospholipase D1/D2	PLD1;PLD2	probe	0.00200 - 66.0 uM	66
WAY-362450	FXR450, WAY-362450, BRD-K54640016	agonist of farnesoid X receptor	NR1H4	probe	0.00200 - 66.0 uM	66
WP1130	BRD-K43644456	"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37"""	UCHL5;USP14;USP5;USP9X	probe	0.00200 - 66.0 uM	66
WZ4002	WZ-4002, BRD-K72420232	inhibitor of EGFR targeting T790M resistance	EGFR	probe	0.00100 - 33.0 uM	33
WZ8040	BRD-K81728688	inhibitor of EGFR targeting T790M resistance	EGFR	probe	0.00200 - 66.0 uM	66
YK 4-279	YK-4-279, BRD-A62182663	inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity	DHX9;ERG;ETV1	probe	0.00100 - 33.0 uM	33
zebularine	zebularine, BRD-A01145011	inhibitor of DNA methyltransferases	DNMT1	probe	0.0180 - 590 uM	590
ZSTK474	ZSTK-474, BRD-K63068307	"inhibitor of PI3K catalytic subunits beta, delta, and gamma"""	PIK3CB;PIK3CD;PIK3CG	experimental	0.00200 - 66.0 uM	66
