"ID"	"Description"	"mIDH1_NES"	"mIDH2_NES"	"NR_NES"	"R_NES"	"mIDH1_pvalue"	"mIDH2_pvalue"	"NR_pvalue"	"R_pvalue"	"mIDH1_core_enrichment"	"mIDH2_core_enrichment"	"NR_core_enrichment"	"R_core_enrichment"
"WP2359"	"Parkin-ubiquitin proteasomal system pathway"	0	1.53920258822296	1.75985272715765	1.79920200019543	1	0.0635359116022099	0.0126414712726112	0.018755116289282	""	"HSPA8/PSMC4/PSMC2/PSMD2/PSMC6/CUL1/PSMC1/PSMD11/PSMC5/PSMD1/PSMD13/PSMD7/PSMD12/TUBB4B/PSMD6/PSMC3/PSMD3"	"HSPA8/PSMC4/PSMC2/PSMD2/PSMC6/PSMC1/PSMD1/PSMC5/PSMD13/PSMD11/TUBB4B/CUL1/PSMC3/PSMD12/PSMD7/PSMD6"	"HSPA8/PSMC4/PSMC2/PSMD2/PSMC6/PSMC1/PSMD1/PSMC5/PSMD13/PSMD11/TUBB4B/CUL1/PSMC3/PSMD12/PSMD7/PSMD6/STUB1/PSMD3"
"WP236"	"Adipogenesis"	0	0	-1.70136737692181	-1.5088629786109	1	1	0.0250776047205551	0.0717948717948718	""	""	"CEBPD/PPARD/NR3C1/STAT3/MEF2C/NRIP1/SPOCK1/IRS2/CEBPB/STAT6/MBNL1"	"PPARD/FOXO1/NR3C1/CEBPD/STAT3/WNT1/RBL1/RXRA/MBNL1"
"WP241"	"One-carbon metabolism"	-1.5524281276833	0	0	-1.50061032628578	0.0514343139174971	1	1	0.0585630546425692	"ATIC/DNMT3B"	""	""	"DNMT3B/DNMT3A"
"WP2431"	"Spinal cord injury"	0	0	-1.57157579978831	0	1	1	0.0528920819927668	1	""	""	"LOC102725035/LILRB3/LOC107987462/LOC107987425/CDK4"	""
"WP2446"	"Retinoblastoma gene in cancer"	0	0	-1.54584844895466	-1.68481577248126	1	1	0.0390179599980266	0.0325337556270725	""	""	"HDAC1/SMC1A/TFDP2/HLTF/RFC3/RPA1/RBBP4/RPA3/SMC3/TOP2A/SIN3A/RPA2/PRKDC/MCM6/CDK6/RFC4/CDK4"	"TOP2A/HDAC1/SMC1A/RFC3/MCM6/TFDP2/RPA1/RBBP4/HLTF/CDK4/RPA3/SMC3/SIN3A/RPA2/PRKDC/CCNA2/HMGB2/CHEK1/RFC4/HMGB1/CDK6"
"WP2516"	"ATM signaling pathway"	0	-1.43767294327486	0	0	1	0.0995024875621891	1	1	""	"NBN/RAD50/MDM4"	""	""
"WP2572"	"Primary focal segmental glomerulosclerosis (FSGS)"	0	0	0	-1.57039341354779	1	1	1	0.0369706975577603	""	""	""	"WNT1/PLCG1/PTK2"
"WP2583"	"T cell receptor and co-stimulatory signaling"	0	0	-1.39364468816887	-1.6178851498446	1	1	0.099290780141844	0.0299564979613798	""	""	"PTEN/CALM1"	"PLCG1/PTEN/LCK"
"WP2636"	"Common pathways underlying drug addiction"	0	1.48349751359606	0	1.61631214181477	1	0.0766721044045677	1	0.0415906147451672	""	"PPP1CA/PRKACB/PPP1CC/ACTB/MAPK1"	""	"PRKACB/PPP1CA/ACTB/MAPK1/PPP1CC"
"WP2806"	"Complement system"	-1.47558621335523	0	0	0	0.0888324873096447	1	1	1	"ICAM1/C5AR1/GNA15/PRKACA/WAS"	""	""	""
"WP2840"	"Hair follicle development: cytodifferentiation - part 3 of 3"	-1.53060262111681	0	-1.50367462208385	0	0.0754257907542579	1	0.0757180156657963	1	"NR3C1/BCL11B/NFKB1/FST"	""	"IFNG/NR3C1/NFKB1/FST/CD34"	""
"WP2849"	"Hematopoietic stem cell differentiation"	0	-1.93497239231191	-1.89157362865236	-1.62105126559772	1	0.0111941868781068	0.0073982763753072	0.0296061335816408	""	"CBFA2T3/MXI1/CD34/CIITA"	"MYB/CD34"	"KLF1/CBFA2T3/MYB"
"WP2853"	"Endoderm differentiation"	0	-1.56505673187042	-1.62163289828475	0	1	0.0523573802682882	0.0270518221618993	1	""	"CDC73/LRPPRC/C1QBP/DNMT3B/LEO1/EOMES/JARID2/CTR9/NAA15/CUL4B/SOX21/PHF6/TAF4B/KDM4A/ZNF462/MTF2"	"CAND1/CDC73/NR3C1/CUL4B/LRPPRC/C1QBP/DNMT3B/LEO1/EOMES/NAA15/CTR9/MTF2/JARID2/PHF6/TAF4B/SOX21/CEBPZ"	""
"WP2857"	"Mesodermal commitment pathway"	0	-1.5978077317787	0	0	1	0.0690185988997772	1	1	""	"C1QBP/KLF4/DNMT3B/EOMES/JARID2/CUL4B/SOX21/PHF6/MEIS1/ZNF462/MTF2"	""	""
"WP2877"	"Vitamin D receptor pathway"	0	-1.72404831240311	-1.89715519578266	-1.57744765945685	1	0.0270300079938878	0.00923299331294423	0.0320313165894245	""	"BCL6/KLF4/NRIP1/CD14/IRF8/S100A6/MXD1"	"BCL6/KLF4/IRF8/NRIP1/CD14/PRKCQ/S100A6/MXD1/ITGAM/ADRB2"	"FOXO1/KLF4/BCL6/CD14/IRF8/VDR/RXRA/IRF4/S100A6"
"WP2880"	"Glucocorticoid receptor pathway"	0	1.46965560363321	0	0	1	0.0640138408304498	1	1	""	"HSP90AA1/CUL1/NR3C1"	""	""
"WP289"	"Myometrial relaxation and contraction pathways"	0	-1.54511890994029	-1.4940479233864	0	1	0.068870523415978	0.08	1	""	"GNB1/ACTB/YWHAE/YWHAB/YWHAQ/GNG7/NFKB1/ITPR1/ARRB1"	"GABPA/PRKACA/GNG7/CALM1/YWHAQ/ADCY7/CREB3/GABPB1"	""
"WP2916"	"Interactome of polycomb repressive complex 2 (PRC2) "	-1.4946842537059	0	0	0	0.0733496332518337	1	1	1	"BCLAF1/RBBP4/MTF2/SUZ12/JARID2"	""	""	""
"WP3"	"Transcriptional activation by NRF2 in response to phytochemicals"	0	0	-1.70245715485344	0	1	1	0.0079479846549547	1	""	""	"HMOX1"	""
"WP35"	"G protein signaling pathways"	-2.11830309566928	0	-1.74828960841108	0	0.00321221562191972	1	0.0222954366019432	1	"NRAS/GNA15/PRKACA/PDE4A/PRKAR2B/AKAP9/GNG7"	""	"PRKCI/PRKCQ/NRAS/PRKACA/GNG7/GNAI1/CALM1/ADCY7"	""
"WP3584"	"MECP2 and associated Rett syndrome"	1.46858195831926	0	0	0	0.0911854103343465	1	1	1	"YBX1/HNRNPH1/RPS6/DHX9/HNRNPF"	""	""	""
"WP3624"	"Lung fibrosis"	0	0	-1.70245715485344	0	1	1	0.0079479846549547	1	""	""	"HMOX1"	""
"WP366"	"TGF-beta signaling pathway"	0	0	1.50336498954476	0	1	1	0.0693215339233038	1	""	""	"SNW1/SUMO1/DCP1A/COPS5/NUP214/HDAC1/NUP153/UBE2I/CUL1/EP300/MAPK1/SKP1/SOS1/GRB2/SIN3A/MEF2C/HGS"	""
"WP3676"	"BDNF-TrkB signaling"	0	-1.43309610980119	0	0	1	0.0827067669172932	1	1	""	"SOS1/MTOR/NRAS/GRB2/RPS6KB1"	""	""
"WP3844"	"PI3K-AKT-mTOR signaling pathway and therapeutic opportunities"	0	0	-1.88530050664629	0	1	1	0.0074521986935101	1	""	""	"MTOR/TFEB/PTEN"	""
"WP3863"	"T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection"	-1.74861469999264	-1.5795992605125	-1.74564341093239	-1.44854691364366	0.0393040660628123	0.0502496104128452	0.0201039001241004	0.0845410628019324	"IFNG/NFKB1/MAPK3/CDK4/PAK1/CD4"	"SOS1/NFKB1/GRB2/PAK1/CDK4/LCK"	"GRB2/IFNG/NFKB1/PRKCQ/IL10/CDK4/CALM1/PAK1"	"GRB2/CDK4/NFKB1/PAK1/PLCG1/LCK"
"WP3878"	"ATM signaling in development and disease "	-1.72966403145169	0	0	-1.53097770217075	0.0258705438440159	1	1	0.0625407597262257	"NFKB1/HMGN1/RAD50/NBN/PRKAA1/PRKDC/RBBP8/TRIM28/TP53BP1"	""	""	"TRIM28/TP53BP1/NBN/NFKB1/PRKDC/RAD50/HMGN1/MTOR/RBBP8/CHEK1/PRKAA1"
"WP3888"	"VEGFA-VEGFR2 signaling"	1.64430641936057	0	0	1.45475769721318	0.0337224383916991	1	1	0.0857874519846351	"RPS6/PPP2CA/RPS11/RPL18A/RPL13A/EIF4G1/RPL26/RPL5/PABPC1/HSP90AA1/RPLP2/RPL10A/RPL27/RPL7/STAT3/SRP54/MAPK1/CDC42/EIF4E/CLTC/SSR4/YWHAE/RAB5A/EIF3H/GRSF1/ZC3H15/EIF3F/EIF3D/PRKCI/RELA/AP2S1/PIK3R1"	""	""	"PPP2CA/HSP90AA1/PABPC1/RPL5/RPL18A/EIF4G1/RPL10A/RPL26/RPS11/RPLP2/RPL13A/RELA/RPL27/RPL7/CLTC/PPP1CA/HDAC1/EIF3F/RPS6/SSR4/SRP54/EIF4E/PSMD11/MAPK1/RAB5A/EIF3H/YWHAE/EIF3D/AP2S1/GRB2/FOXO1/PRKCI/ZC3H15/RBM39"
"WP391"	"Mitochondrial gene expression"	0	0	-1.52175279802679	0	1	1	0.0658536585365854	1	""	""	"PPRC1/GABPA/GABPB1"	""
"WP3934"	"Leptin and adiponectin"	-1.43603400294706	0	0	0	0.089086859688196	1	1	1	"PRKAG1"	""	""	""
"WP3937"	"Microglia pathogen phagocytosis pathway"	0	-1.4423296100593	-1.76304552498664	0	1	0.089622641509434	0.0147964481625884	1	""	"TYROBP/ITGB2"	"TYROBP/ITGB2/ITGAM"	""
"WP3945"	"TYROBP causal network in microglia"	0	-1.96374521598941	-2.0744293390046	-2.00296562999241	1	0.00966339812755167	0.0054377436879842	0.0026543206003756	""	"HCLS1/ITGAX/TYROBP/ITGB2"	"ADAP2/TYROBP/PYCARD/IGSF6/ITGB2/ITGAM/ITGAX"	"IL10RA/ADAP2/ITGB2/ITGAX"
"WP3965"	"Lipid metabolism pathway"	-1.56256224206062	0	0	0	0.0656934306569343	1	1	1	"PRKAA1/PRKAG1/PRKACA/PRKAR2B"	""	""	""
"WP3995"	"Prion disease pathway"	0	0	-1.52505974354644	-1.46338179990871	1	1	0.0779944289693593	0.0743801652892562	""	""	"MAPK1/POU2F2/RAD21/SMC3/STAT3/MEF2C/NFKB1/CTCF/HSP90B1"	"EP300/MAPK1/RAD21/SMC3/STAT3/NFKB1/CTCF/HSP90B1/PTK2/RXRA/IRF4"
"WP3998"	"Prader-Willi and Angelman syndrome"	0	-2.22989383500629	-1.75805078427689	0	1	0.00222718994820042	0.0217515324088453	1	""	"CDK6/MDM4/CDK4/CCND2"	"CDK4/UBE2N"	""
"WP400"	"p38 MAPK signaling pathway"	0	-1.50850334974684	0	0	1	0.0694444444444444	1	1	""	"HMGN1"	""	""
"WP4016"	"DNA IR-damage and cellular response via ATR"	0	0	0	-1.48828941916386	1	1	1	0.0799805643855129	""	""	""	"SMC1A/XRCC5/FOXM1/RPA1/TRIM28/TP53BP1/BRIP1/BCL6/NBN/RPA2/PRKDC/RAD50/RBBP8/MSH2/CHEK1/BRCA1/PALB2"
"WP4022"	"Pyrimidine metabolism"	2.38806285564836	2.29713575914069	2.23472337744377	2.05171949344069	8.30166562825803e-05	0.000150247877691753	0.000378924327890897	0.00151751756322191	"POLR2C/POLR2D/POLR2G/POLR2E/POLR2J/POLR2B/POLR2H/POLR2L/POLR2A"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2A/POLR2H"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2H/POLR2A"	"POLR2C/POLR2G/POLR2B/POLR2E/POLR2H/POLR2A"
"WP405"	"Eukaryotic transcription initiation"	1.7668774576197	1.73260290350897	1.8916257953933	1.86758405869539	0.0139196644613337	0.0334355815019384	0.00655452368272607	0.0118235513332296	"POLR2C/POLR2G/POLR2E/POLR2J/POLR2B/POLR2H"	"POLR2C/POLR2G/GTF2F2/POLR2B/POLR2E/POLR2A"	"POLR2C/POLR2G/POLR2B/POLR2E/GTF2F2/POLR2H/POLR2A"	"POLR2C/POLR2G/POLR2B/POLR2E/GTF2F2/POLR2H/POLR2A"
"WP411"	"mRNA processing"	4.3098631957973	4.77212387637664	4.60450946080592	4.80330294669305	1e-10	1e-10	1e-10	1e-10	"NCBP1/SRSF2/SRSF4/CDC40/SRSF6/PTBP1/HNRNPU/RNPS1/SRSF1/YBX1/SNRPD2/HNRNPA2B1/EFTUD2/HNRNPH1/CPSF2/SRRM1/DHX9/CLP1/HNRNPM/DHX38/CSTF2/SF3B1/PRPF3/HNRNPL/SNRPA1/CPSF1/CD2BP2/NUDT21/SUGP1/SF3B2/HNRNPK/NCBP2/HNRNPD/PRPF4/SF3B3/SRSF9/SNRPD1/CSTF3/CSTF1/SRSF3/DHX15/SF3B5/HNRNPH2/SRSF7/PRPF8/DNAJC8/RBMX/SF3A3/SNRPA/RBM17/POLR2A/PHF5A/SRP54/FUS/SUPT5H/SNRNP70/SNRPB2/HNRNPA1/U2AF2/SNRNP40"	"NCBP2/SRSF2/HNRNPA2B1/CDC40/CPSF2/U2AF2/CPSF1/HNRNPD/SNRPD2/SRSF1/NCBP1/HNRNPK/SRSF3/NUDT21/SRSF4/YBX1/PTBP1/HNRNPU/SNRPA1/HNRNPR/RNPS1/PRPF6/CSTF3/CSTF2/HNRNPM/SF3A1/HNRNPH1/PCBP2/PABPN1/EFTUD2/SNRPA/PRPF3/CSTF1/DNAJC8/SRSF7/SF3B5/DHX15/SF3A3/PRPF8/SRSF5/RBMX/PRPF40A/POLR2A/SNRPB2/SRRM1/SF3B2/DHX9/SF3B3/CPSF3/PHF5A/SRSF6/TRA2B/SNRPB/SFPQ/HNRNPL/SNRPD1/SNRPF/SNRNP70/FUS/PRPF4/SF3B1/SUPT5H/DHX38/SRSF9"	"NCBP1/NCBP2/SRSF2/CDC40/HNRNPA2B1/CPSF2/SNRPD2/SRSF1/CPSF1/RNPS1/SRSF4/YBX1/PTBP1/HNRNPK/HNRNPU/HNRNPD/EFTUD2/SRSF3/NUDT21/SNRPA1/HNRNPM/HNRNPH1/U2AF2/DHX9/SRRM1/PRPF3/CSTF2/SRSF7/DNAJC8/SRSF6/DHX15/SNRPA/SF3B5/CSTF3/PRPF6/SF3B3/HNRNPR/PRPF8/SF3A1/RBMX/SF3B2/SF3B1/SF3A3/CSTF1/DHX38/PCBP2/SNRPD1/POLR2A/HNRNPL/PABPN1/SNRPB2/PRPF40A/PHF5A/PRPF4/SRSF9/SNRNP70/CD2BP2/HNRNPH2/SFPQ/SRSF5/FUS/TRA2B/HNRNPA1/SUPT5H/TMED10/SRP54/SMC1A/CPSF3"	"NCBP1/NCBP2/SRSF2/CDC40/HNRNPA2B1/CPSF2/SNRPD2/SRSF1/CPSF1/RNPS1/SRSF4/YBX1/PTBP1/HNRNPK/HNRNPU/HNRNPD/EFTUD2/SRSF3/NUDT21/SNRPA1/HNRNPM/HNRNPH1/U2AF2/DHX9/SRRM1/PRPF3/CSTF2/SRSF7/DNAJC8/SRSF6/DHX15/SNRPA/SF3B5/CSTF3/PRPF6/SF3B3/HNRNPR/SF3A1/PRPF8/RBMX/SF3B2/SF3B1/SF3A3/CSTF1/DHX38/PCBP2/SNRPD1/POLR2A/HNRNPL/SNRPB2/PABPN1/PRPF40A/PHF5A/PRPF4/SRSF9/SNRNP70/CD2BP2/HNRNPH2/SFPQ/SRSF5/FUS/TRA2B/HNRNPA1/SUPT5H/TMED10/SRP54/SMC1A/CPSF3"
"WP4197"	"Immune response to tuberculosis"	0	0	-1.49923214351053	0	1	1	0.0682926829268293	1	""	""	"IFNGR2/IFNGR1/IRF9"	""
"WP4204"	"Tumor suppressor activity of SMARCB1"	-1.50333107594882	-1.56283860007451	-1.69743107327395	-1.65100541705937	0.072972972972973	0.0543269719950645	0.0483548459891147	0.0176922970979154	"DPF3/SMARCD1/RBBP4/CDK4/SUZ12/SMARCD3/CDK6"	"SMARCC1/SMARCD1/SUZ12/DPF3/ACTL6A/CDK6/CDK4"	"SMARCD1/SUZ12/SMARCC1/ACTL6A/CDK6/CDK4"	"RBBP4/CDK4/SMARCD3/DPF3/ACTL6A/SMARCD1/SUZ12/CDK6"
"WP4222"	"Phosphodiesterases in neuronal function"	-1.68852349797072	0	-1.5663528565657	0	0.00795966135093012	1	0.0651685393258427	1	"PDE4A"	""	"ADCY7"	""
"WP4255"	"Non-small cell lung cancer"	0	-1.43309610980119	0	0	1	0.0827067669172932	1	1	""	"SOS1/NRAS/GRB2/CDK6/CDK4"	""	""
"WP4262"	"Breast cancer pathway"	-1.51548833508686	-1.77466938877454	-1.50444781804003	-1.60881949172026	0.065428565559601	0.028652976115172	0.073553997777755	0.0310380243766761	"RAD50/MAPK3/DVL2/CDK4/PTEN/NBN/CSNK2A2/NRAS/SHC1/BRCA1/CDK6"	"MAPK1/SKP1/SOS1/CSNK2A2/MTOR/NRAS/DVL2/GRB2/NBN/CDK6/RAD50/RPS6KB1/CDK4"	"MAPK1/SKP1/SOS1/GRB2/CSNK2A2/NBN/RAD50/NRAS/MTOR/DVL2/CDK6/PTEN/RPS6KB1/CDK4"	"MAPK1/SKP1/GRB2/CDK4/CSNK2A2/NBN/RAD50/WNT1/NRAS/MTOR/DVL2/NFKB2/PTEN/BRCA1/CDK6/RPS6KB2"
"WP4313"	"Ferroptosis"	0	1.44219996248333	0	1.56125446314276	1	0.0743944636678201	1	0.0332577330848926	""	"PCBP1/PCBP2"	""	"PCBP1/PCBP2"
"WP4321"	"Thermogenesis"	0	-2.0158538756278	-1.43372391837438	-1.53059834348539	1	0.00559968608902013	0.0646394641862538	0.0462262747126807	""	"SMARCC1/SOS1/SMARCD1/KDM1A/DPF3/MTOR/CREB3L4/ACTL6A/NRAS/GRB2/PRDM16/RPS6KB1/PRKAA1"	"ACTB/RPS6/SOS1/GRB2/SMARCD1/CREB3L4/SMARCC1/KDM1A/NRAS/MTOR/ACTL6A/PRKAA1/PRKACA/RPS6KB1/ADCY7/CREB3"	"NRAS/DPF3/MTOR/ACTL6A/SMARCD1/PRKAA1/PRDM16/CREB3L4/ADCY7/RPS6KB2"
"WP4324"	"Mitochondrial complex I assembly model OXPHOS system"	-1.60511178979326	-1.46748652186266	-2.04616232461953	-2.07063970254084	0.0191591969877149	0.0754716981132075	0.00253929179417276	0.0015995752743217	"NDUFA3"	"NDUFS3/NDUFS1"	"NDUFA2/NDUFS1/NDUFS3"	"NDUFA2/NDUFS1/NDUFS3"
"WP4341"	"Non-genomic actions of 1,25 dihydroxyvitamin D3"	0	0	-1.46672517998452	-1.50396407283619	1	1	0.07202216066482	0.0743589743589744	""	""	"MED1/IFNG/TLR8/NFKB1/PRKCQ/NRAS/IFNGR2/IFNGR1"	"TLR8/IFNG/MED1/TYK2/NFKB1/NRAS/NFKB2/VDR/RXRA"
"WP4342"	"Vitamins A and D - action mechanisms"	0	0	0	-1.53683515818963	1	1	1	0.0339600921683071	""	""	""	"RXRA"
"WP4352"	"Ciliary landscape"	2.1129122547834	1.84196908275674	1.7879565609386	2.07132180536107	0.00160610781095986	0.0136812344291928	0.025698575503888	0.00211268186877532	"DDX5/EFTUD2/DYNLL1/CD2BP2/DYNC1H1/PSMC4/COPS5/COPS2/SNRPB2/HDAC2/CEP290/DYNC1LI1/PSMC6/NUP88/COPS3/COPS6/EIF5B/EXOSC4/PAFAH1B1/LRPPRC/DYNC1I2/DYNLL2/COPS4/MCM6/PSMD13/HDAC1/PSMD12/MCM8/LZTFL1/CNOT1/PSMD7/NFKB1"	"DDX5/EFTUD2/DYNC1H1/SNRPB2/DYNC1I2/PSMC4/DYNC1LI1/PAFAH1B1/NUP133/PSMC6/NUP88/HDAC1/DYNLL1/EIF5B/PSMD13/PSMD7/CEP290/PSMD12/DYNLL2/COPS5/COPS6/COPS2/HDAC2/COPS4"	"DDX5/EFTUD2/DYNC1H1/PSMC4/SNRPB2/DYNC1LI1/DYNC1I2/COPS5/CD2BP2/PAFAH1B1/PSMC6/DYNLL1/NUP88/HDAC1/CEP290/EIF5B/COPS6/DYNLL2/COPS2/PSMD13/PSMD12/PSMD7"	"DDX5/EFTUD2/DYNC1H1/PSMC4/SNRPB2/DYNC1LI1/DYNC1I2/COPS5/CD2BP2/PAFAH1B1/PSMC6/DYNLL1/NUP88/HDAC1/EIF5B/COPS6/DYNLL2/COPS2/PSMD13/HDAC2/CEP290/PSMD12/PSMD7/MCM6/COPS4/LRPPRC"
"WP437"	"EGF/EGFR signaling pathway"	0	-1.96262674124678	-2.00589814267975	-1.98161447003436	1	0.0106791530443682	0.00343300040933301	0.00387784369984964	""	"PRKCI/RAB5A/SOS1/AP2S1/MTOR/MEF2C/GRB2/PAK1/HGS/RPS6KB1"	"RAB5A/SOS1/AP2S1/GRB2/AP2M1/STAT3/MEF2C/HGS/PRKCI/CFL1/MTOR/AP2B1/PTEN/RPS6KB1/PAK1/PTPN11"	"RAB5A/AP2S1/GRB2/FOXO1/PRKCI/AP2M1/STAT3/HGS/PAK1/MTOR/PLCG1/PTK2/AP2B1/PTEN/PEBP1/MAP3K3"
"WP4396"	"Nonalcoholic fatty liver disease"	0	0	-1.83555451439714	-1.62042936260971	1	1	0.0150323888477555	0.0204514050438189	""	""	"NDUFV1/PRKAA1/IRS2/MLX/NDUFA2/NDUFS1/NDUFS3"	"NDUFV1/PRKAA1/RXRA/NDUFA2/NDUFS1/NDUFS3"
"WP4495"	"IL-10 anti-inflammatory signaling pathway "	0	0	-1.56570315718489	0	1	1	0.0429039174474816	1	""	""	"IL10/IL10RB/HMOX1"	""
"WP45"	"G1 to S cell cycle control"	0	-1.64778461824197	-1.50479316888137	-1.51726475478361	1	0.03194099320024	0.0779944289693593	0.0329799191696716	""	"RPA3/RPA2/CDK7/RPA1/CREB3L4/MCM6/CDK6/CDK4/CCND2"	"RPA1/RPA3/CREB3L4/RPA2/CDK7/MCM6/CDK6/CDK4/CREB3"	"TFDP2/RPA1/CDK4/RPA3/CDK7/RPA2/CREB3L4/CDK6"
"WP4532"	"Intraflagellar transport proteins binding to dynein"	1.63184150240241	1.73528378883943	1.50807914537414	1.5269773106156	0.0423011844331641	0.0228193638091827	0.0468497576736672	0.06070826306914	"DYNLL1/DYNC1H1/DYNC1LI1/DYNC1I2/DYNLL2"	"DYNC1H1/DYNC1I2/DYNC1LI1/DYNLL1/DYNLL2"	"DYNC1H1/DYNC1LI1/DYNC1I2/DYNLL1/DYNLL2"	"DYNC1H1/DYNC1LI1/DYNC1I2/DYNLL1/DYNLL2"
"WP4534"	"Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms"	0	0	-1.48914993897965	0	1	1	0.0731707317073171	1	""	""	"ITGB2/YWHAQ/PAK1"	""
"WP4539"	"Synaptic signaling pathways associated with autism spectrum disorder"	0	-1.62278223624787	-1.75089908486291	0	1	0.041825930686705	0.0185604107196079	1	""	"MTOR/NRAS/NF1/RPS6KB1/PRKAA1"	"NRAS/MTOR/PRKAA1/PTEN/RPS6KB1"	""
"WP4540"	"Hippo signaling regulation pathways"	0	0	-1.49308148762056	0	1	1	0.0809399477806789	1	""	""	"PRKCI/PRKCQ/MTOR/PRKAA1/PRKACA"	""
"WP4542"	"Leukocyte-intrinsic Hippo pathway functions"	-1.6139658192311	0	0	0	0.0370473732745169	1	1	1	"YWHAQ/MAPK14"	""	""	""
"WP4558"	"Overview of interferons-mediated signaling pathway"	-1.44199948753555	0	-1.56817541016251	0	0.0953545232273839	1	0.0678851174934726	1	"IRF9/IFNG/TYK2/IFNK/IL10RB"	""	"IFNGR2/IL10RB/IFNGR1/IRF9"	""
"WP4582"	"Cancer immunotherapy by CTLA4 blockade"	0	1.49444240689001	0	1.58684879860412	1	0.0665499124343257	1	0.0288601240533157	""	"PPP2CA/CD86"	""	"PPP2CA/CD86"
"WP4589"	"Major receptors targeted by epinephrine and norepinephrine"	0	0	-1.67708177720658	0	1	1	0.0101200185360162	1	""	""	"ADCY7"	""
"WP4657"	"22q11.2 copy number variation syndrome"	0	0	0	1.47114623927017	1	1	1	0.0889261744966443	""	""	""	"XPO1/POLR2A/RAN/RANGAP1/NCOR1/KPNB1/MED15/CUL3/RANBP1"
"WP4659"	"Gastrin signaling pathway"	0	-1.55914948689935	0	0	1	0.0818713450292398	1	1	""	"SOS1/KLF4/CDH1/NFKB1/MTOR/MEF2C/GRB2/PAK1/LAMTOR3/ARRB1/RPS6KB1"	""	""
"WP466"	"DNA replication"	0	-1.39756480129373	0	0	1	0.0952380952380952	1	1	""	"RPA2/RFC3/RPA1/MCM6/RFC4"	""	""
"WP4666"	"Hepatitis B infection"	0	-1.68151668458375	-1.57360547842396	0	1	0.0412788197141214	0.034294659728145	1	""	"MAPK1/YWHAB/DDB1/SOS1/YWHAQ/DDX3X/NFKB1/TBK1/CREB3L4/TYK2/NRAS/GRB2"	"EP300/MAPK1/SOS1/DDB1/GRB2/YWHAB/DDX3X/CREB3L4/STAT3/TBK1/NFKB1/NRAS/YWHAQ/STAT6/CREB3"	""
"WP4685"	"Melanoma"	0	-1.88744061077332	-1.46672517998452	0	1	0.0107656496906976	0.07202216066482	1	""	"SOS1/CDH1/NRAS/GRB2/PAK1/LAMTOR3/CDK6/NF1/CDK4"	"NRAS/CDK6/PTEN/CDK4/CALM1/PAK1"	""
"WP4698"	"Vitamin D-sensitive calcium signaling in depression"	0	0	0	-1.48633403826936	1	1	1	0.0843091334894614	""	""	""	"VDR/RXRA/ITPR3"
"WP4746"	"Thyroid hormones production and peripheral downstream signaling effects"	0	-1.53314045873272	0	0	1	0.0615053050081914	1	1	""	"SOS1/KDM1A/MTOR/GRB2/PRDM16/RPS6KB1"	""	""
"WP4753"	"Nucleotide excision repair"	0	-1.55412694328274	0	0	1	0.0745117075092389	1	1	""	"RPA3/RPA2/GTF2H4/RFC3/DDB1/CDK7/RAD23B/GTF2H3/RPA1/CUL4B/RFC4"	""	""
"WP4756"	"Renin-angiotensin-aldosterone system (RAAS)"	-1.73135653730509	0	0	-1.61772121914698	0.00322157763790801	1	1	0.0164052937572281	"CREB3L4"	""	""	"ITPR3"
"WP4760"	"PKC-gamma calcium signaling pathway in ataxia"	0	-1.45553300311451	0	0	1	0.0949074074074074	1	1	""	"GNA15"	""	""
