"Rownames"	"chr"	"start"	"end"	"Name"
"chr12:52795732-52798118"	"chr12:52795732-52798118"	"chr12"	52795732	52798118	"KRT3"
"chr12:53101908-53102285"	"chr12:53101908-53102285"	"chr12"	53101908	53102285	"SOAT2"
"chr12:53176262-53183068"	"chr12:53176262-53183068"	"chr12"	53176262	53183068	"ZNF740;CSAD"
"chr12:52814108-52821592"	"chr12:52814108-52821592"	"chr12"	52814108	52821592	"KRT4"
"chr12:52836455-52838487"	"chr12:52836455-52838487"	"chr12"	52836455	52838487	""
"chr12:53000085-53007759"	"chr12:53000085-53007759"	"chr12"	53000085	53007759	"EIF4B"
"chr12:53007760-53011039"	"chr12:53007760-53011039"	"chr12"	53007760	53011039	""
"chr12:52729405-52743505"	"chr12:52729405-52743505"	"chr12"	52729405	52743505	""
"chr12:52828696-52836454"	"chr12:52828696-52836454"	"chr12"	52828696	52836454	"KRT79"
"chr12:53449578-53461671"	"chr12:53449578-53461671"	"chr12"	53449578	53461671	"PCBP2"
"chr12:53461672-53463128"	"chr12:53461672-53463128"	"chr12"	53461672	53463128	"PCBP2-OT1"
"chr12:53463129-53466473"	"chr12:53463129-53466473"	"chr12"	53463129	53466473	"PCBP2-OT1"
"chr12:53663664-53680128"	"chr12:53663664-53680128"	"chr12"	53663664	53680128	"ATP5MC2"
"chr12:53737262-53738931"	"chr12:53737262-53738931"	"chr12"	53737262	53738931	""
"chr12:53814456-53815442"	"chr12:53814456-53815442"	"chr12"	53814456	53815442	""
"chr12:53419338-53432047"	"chr12:53419338-53432047"	"chr12"	53419338	53432047	"AMHR2"
"chr12:53809134-53814455"	"chr12:53809134-53814455"	"chr12"	53809134	53814455	""
"chr12:53961086-53962249"	"chr12:53961086-53962249"	"chr12"	53961086	53962249	""
"chr12:53739344-53749820"	"chr12:53739344-53749820"	"chr12"	53739344	53749820	""
"chr12:53749821-53753319"	"chr12:53749821-53753319"	"chr12"	53749821	53753319	""
"chr12:53962276-53968549"	"chr12:53962276-53968549"	"chr12"	53962276	53968549	""
"chr12:54011516-54017128"	"chr12:54011516-54017128"	"chr12"	54011516	54017128	"HOXC4;HOXC5"
"chr12:53721566-53732140"	"chr12:53721566-53732140"	"chr12"	53721566	53732140	"CALCOCO1"
"chr12:53634560-53637468"	"chr12:53634560-53637468"	"chr12"	53634560	53637468	""
"chr12:53753320-53755634"	"chr12:53753320-53755634"	"chr12"	53753320	53755634	""
"chr12:53756153-53767839"	"chr12:53756153-53767839"	"chr12"	53756153	53767839	"CISTR"
"chr12:53950256-53953614"	"chr12:53950256-53953614"	"chr12"	53950256	53953614	"HOXC12"
"chr12:53933015-53945583"	"chr12:53933015-53945583"	"chr12"	53933015	53945583	"HOXC13;HOXC13-AS"
"chr12:53953615-53956972"	"chr12:53953615-53956972"	"chr12"	53953615	53956972	"HOXC12"
"chr12:53968565-53975539"	"chr12:53968565-53975539"	"chr12"	53968565	53975539	"HOXC11;HOTAIR"
"chr12:53975540-53976985"	"chr12:53975540-53976985"	"chr12"	53975540	53976985	"HOTAIR"
"chr12:53980480-53985149"	"chr12:53980480-53985149"	"chr12"	53980480	53985149	"HOXC10"
"chr12:53985150-53985831"	"chr12:53985150-53985831"	"chr12"	53985150	53985831	"HOXC10;HOXC-AS3"
"chr12:53985832-53986112"	"chr12:53985832-53986112"	"chr12"	53985832	53986112	"HOXC-AS3"
"chr12:53986113-53987230"	"chr12:53986113-53987230"	"chr12"	53986113	53987230	"HOXC-AS3"
"chr12:53987231-53992228"	"chr12:53987231-53992228"	"chr12"	53987231	53992228	"HOXC-AS3;HOXC6;MIR196A2"
"chr12:54583081-54591267"	"chr12:54583081-54591267"	"chr12"	54583081	54591267	"PPP1R1A"
"chr12:54610650-54612284"	"chr12:54610650-54612284"	"chr12"	54610650	54612284	"GLYCAM1"
"chr12:54610392-54610649"	"chr12:54610392-54610649"	"chr12"	54610392	54610649	"GLYCAM1"
"chr12:54162987-54163273"	"chr12:54162987-54163273"	"chr12"	54162987	54163273	""
"chr12:54163274-54165965"	"chr12:54163274-54165965"	"chr12"	54163274	54165965	""
"chr12:54159708-54162986"	"chr12:54159708-54162986"	"chr12"	54159708	54162986	""
"chr12:54189764-54190327"	"chr12:54189764-54190327"	"chr12"	54189764	54190327	"SMUG1"
"chr12:54610063-54610391"	"chr12:54610063-54610391"	"chr12"	54610063	54610391	"GLYCAM1"
"chr12:54165966-54169138"	"chr12:54165966-54169138"	"chr12"	54165966	54169138	""
"chr12:54187933-54189763"	"chr12:54187933-54189763"	"chr12"	54187933	54189763	"SMUG1"
"chr12:54190328-54192908"	"chr12:54190328-54192908"	"chr12"	54190328	54192908	"SMUG1"
"chr12:54612285-54614602"	"chr12:54612285-54614602"	"chr12"	54612285	54614602	"GLYCAM1"
"chr12:54139920-54150682"	"chr12:54139920-54150682"	"chr12"	54139920	54150682	""
"chr12:54543574-54546497"	"chr12:54543574-54546497"	"chr12"	54543574	54546497	""
"chr12:54546498-54549929"	"chr12:54546498-54549929"	"chr12"	54546498	54549929	"PDE1B"
"chr12:54227425-54233477"	"chr12:54227425-54233477"	"chr12"	54227425	54233477	"MIR3198-2"
"chr12:54254817-54255840"	"chr12:54254817-54255840"	"chr12"	54254817	54255840	""
"chr12:54078319-54088615"	"chr12:54078319-54088615"	"chr12"	54078319	54088615	"LOC100240735"
"chr12:54123292-54124735"	"chr12:54123292-54124735"	"chr12"	54123292	54124735	"LINC02381"
"chr12:54124736-54129868"	"chr12:54124736-54129868"	"chr12"	54124736	54129868	"LINC02381"
"chr12:54350983-54357101"	"chr12:54350983-54357101"	"chr12"	54350983	54357101	"LOC102724050"
"chr12:54678978-54685110"	"chr12:54678978-54685110"	"chr12"	54678978	54685110	""
"chr12:54645818-54652940"	"chr12:54645818-54652940"	"chr12"	54645818	54652940	"DCD"
"chr12:54633546-54640674"	"chr12:54633546-54640674"	"chr12"	54633546	54640674	"LACRT"
"chr12:54827645-54830740"	"chr12:54827645-54830740"	"chr12"	54827645	54830740	"MUCL1"
"chr12:54802152-54807808"	"chr12:54802152-54807808"	"chr12"	54802152	54807808	""
"chr12:56114260-56115886"	"chr12:56114260-56115886"	"chr12"	56114260	56115886	"RPL41"
"chr12:55471182-55471715"	"chr12:55471182-55471715"	"chr12"	55471182	55471715	"OR6C70"
"chr12:55108145-55111232"	"chr12:55108145-55111232"	"chr12"	55108145	55111232	""
"chr12:55111233-55116773"	"chr12:55111233-55116773"	"chr12"	55111233	55116773	""
"chr12:55238493-55249399"	"chr12:55238493-55249399"	"chr12"	55238493	55249399	"OR6C74"
"chr12:55328437-55330971"	"chr12:55328437-55330971"	"chr12"	55328437	55330971	"OR6C3"
"chr12:55469573-55471181"	"chr12:55469573-55471181"	"chr12"	55469573	55471181	"OR6C70"
"chr12:55471716-55477518"	"chr12:55471716-55477518"	"chr12"	55471716	55477518	"OR6C70"
"chr12:56005253-56008952"	"chr12:56005253-56008952"	"chr12"	56005253	56008952	"IKZF4"
"chr12:56008953-56019182"	"chr12:56008953-56019182"	"chr12"	56008953	56019182	""
"chr12:56110763-56113719"	"chr12:56110763-56113719"	"chr12"	56110763	56113719	""
"chr12:55970938-55974877"	"chr12:55970938-55974877"	"chr12"	55970938	55974877	"RAB5B;PMEL"
"chr12:55974878-55977342"	"chr12:55974878-55977342"	"chr12"	55974878	55977342	"PMEL"
"chr12:55921463-55926317"	"chr12:55921463-55926317"	"chr12"	55921463	55926317	"DGKA"
"chr12:55969112-55970937"	"chr12:55969112-55970937"	"chr12"	55969112	55970937	""
"chr12:55995630-56001052"	"chr12:55995630-56001052"	"chr12"	55995630	56001052	"SUOX"
"chr12:55715274-55716055"	"chr12:55715274-55716055"	"chr12"	55715274	55716055	"BLOC1S1;ITGA7"
"chr12:55716190-55718044"	"chr12:55716190-55718044"	"chr12"	55716190	55718044	"BLOC1S1;ITGA7"
"chr12:55586658-55587875"	"chr12:55586658-55587875"	"chr12"	55586658	55587875	""
"chr12:55647444-55648562"	"chr12:55647444-55648562"	"chr12"	55647444	55648562	""
"chr12:55648563-55653243"	"chr12:55648563-55653243"	"chr12"	55648563	55653243	""
"chr12:55653244-55655617"	"chr12:55653244-55655617"	"chr12"	55653244	55655617	""
"chr12:55568532-55570500"	"chr12:55568532-55570500"	"chr12"	55568532	55570500	"OR2AP1"
"chr12:55570501-55579679"	"chr12:55570501-55579679"	"chr12"	55570501	55579679	"OR2AP1"
"chr12:55606804-55610910"	"chr12:55606804-55610910"	"chr12"	55606804	55610910	""
"chr12:55633542-55639002"	"chr12:55633542-55639002"	"chr12"	55633542	55639002	"OR10P1"
"chr12:55647199-55647443"	"chr12:55647199-55647443"	"chr12"	55647199	55647443	""
"chr12:55655618-55656171"	"chr12:55655618-55656171"	"chr12"	55655618	55656171	""
"chr12:55656172-55659930"	"chr12:55656172-55659930"	"chr12"	55656172	55659930	""
"chr12:55664186-55664887"	"chr12:55664186-55664887"	"chr12"	55664186	55664887	""
"chr12:55679735-55680910"	"chr12:55679735-55680910"	"chr12"	55679735	55680910	"METTL7B"
"chr12:55579680-55586657"	"chr12:55579680-55586657"	"chr12"	55579680	55586657	""
"chr12:55378988-55386474"	"chr12:55378988-55386474"	"chr12"	55378988	55386474	""
"chr12:56187485-56190064"	"chr12:56187485-56190064"	"chr12"	56187485	56190064	"SMARCC2"
"chr12:56190065-56198174"	"chr12:56190065-56198174"	"chr12"	56190065	56198174	"SMARCC2"
"chr12:56349661-56352280"	"chr12:56349661-56352280"	"chr12"	56349661	56352280	""
"chr12:56149068-56152137"	"chr12:56149068-56152137"	"chr12"	56149068	56152137	"MYL6B"
"chr12:56307990-56308252"	"chr12:56307990-56308252"	"chr12"	56307990	56308252	""
"chr12:56308253-56310191"	"chr12:56308253-56310191"	"chr12"	56308253	56310191	""
"chr12:56312703-56320428"	"chr12:56312703-56320428"	"chr12"	56312703	56320428	"CNPY2"
"chr12:56376477-56379621"	"chr12:56376477-56379621"	"chr12"	56376477	56379621	""
"chr12:56379622-56382694"	"chr12:56379622-56382694"	"chr12"	56379622	56382694	""
"chr12:56382695-56384928"	"chr12:56382695-56384928"	"chr12"	56382695	56384928	""
"chr12:56450221-56450478"	"chr12:56450221-56450478"	"chr12"	56450221	56450478	"TIMELESS"
"chr12:56490363-56491196"	"chr12:56490363-56491196"	"chr12"	56490363	56491196	"GLS2"
"chr12:56510604-56510911"	"chr12:56510604-56510911"	"chr12"	56510604	56510911	""
"chr12:56488963-56490362"	"chr12:56488963-56490362"	"chr12"	56488963	56490362	"GLS2"
"chr12:56405688-56423130"	"chr12:56405688-56423130"	"chr12"	56405688	56423130	""
"chr12:56100332-56105898"	"chr12:56100332-56105898"	"chr12"	56100332	56105898	"PA2G4"
"chr22:44658753-44676447"	"chr22:44658753-44676447"	"chr22"	44658753	44676447	"PRR5"
"chr12:56853169-56853764"	"chr12:56853169-56853764"	"chr12"	56853169	56853764	""
"chr12:56586731-56588136"	"chr12:56586731-56588136"	"chr12"	56586731	56588136	""
"chr12:56684355-56691695"	"chr12:56684355-56691695"	"chr12"	56684355	56691695	"PTGES3"
"chr12:57030702-57032054"	"chr12:57030702-57032054"	"chr12"	57030702	57032054	"TAC3"
"chr12:56752336-56753167"	"chr12:56752336-56753167"	"chr12"	56752336	56753167	"HSD17B6;PRIM1"
"chr12:56753168-56753397"	"chr12:56753168-56753397"	"chr12"	56753168	56753397	"PRIM1"
"chr12:56588267-56593872"	"chr12:56588267-56593872"	"chr12"	56588267	56593872	""
"chr12:56645307-56646798"	"chr12:56645307-56646798"	"chr12"	56645307	56646798	"SNORD59A;ATP5F1B"
"chr12:56646799-56646988"	"chr12:56646799-56646988"	"chr12"	56646799	56646988	"SNORD59A;ATP5F1B"
"chr12:57932577-57938677"	"chr12:57932577-57938677"	"chr12"	57932577	57938677	""
"chr12:56518916-56523366"	"chr12:56518916-56523366"	"chr12"	56518916	56523366	"RBMS2"
"chr12:56747839-56752012"	"chr12:56747839-56752012"	"chr12"	56747839	56752012	"HSD17B6"
"chr12:56853765-56855745"	"chr12:56853765-56855745"	"chr12"	56853765	56855745	""
"chr12:56991107-57004448"	"chr12:56991107-57004448"	"chr12"	56991107	57004448	"GPR182"
"chr12:56740251-56742894"	"chr12:56740251-56742894"	"chr12"	56740251	56742894	""
"chr12:56819312-56822232"	"chr12:56819312-56822232"	"chr12"	56819312	56822232	""
"chr12:57006260-57008261"	"chr12:57006260-57008261"	"chr12"	57006260	57008261	"ZBTB39"
"chr12:57052818-57055625"	"chr12:57052818-57055625"	"chr12"	57052818	57055625	"MYO1A"
"chr12:57008262-57010408"	"chr12:57008262-57010408"	"chr12"	57008262	57010408	"ZBTB39"
"chr12:56742895-56745635"	"chr12:56742895-56745635"	"chr12"	56742895	56745635	""
"chr12:56983193-56991106"	"chr12:56983193-56991106"	"chr12"	56983193	56991106	""
"chr12:56951096-56962145"	"chr12:56951096-56962145"	"chr12"	56951096	56962145	"RDH16"
"chr12:57147303-57147580"	"chr12:57147303-57147580"	"chr12"	57147303	57147580	"LRP1-AS"
"chr12:57450060-57452995"	"chr12:57450060-57452995"	"chr12"	57450060	57452995	"INHBE"
"chr12:57454216-57463340"	"chr12:57454216-57463340"	"chr12"	57454216	57463340	"GLI1"
"chr12:57463426-57464800"	"chr12:57463426-57464800"	"chr12"	57463426	57464800	""
"chr12:57464801-57473533"	"chr12:57464801-57473533"	"chr12"	57464801	57473533	"MARS"
"chr12:57473534-57477115"	"chr12:57473534-57477115"	"chr12"	57473534	57477115	"MARS"
"chr12:57047081-57052817"	"chr12:57047081-57052817"	"chr12"	57047081	57052817	"MYO1A"
"chr12:57126376-57132196"	"chr12:57126376-57132196"	"chr12"	57126376	57132196	"LRP1;STAT6"
"chr12:57400612-57419094"	"chr12:57400612-57419094"	"chr12"	57400612	57419094	""
"chr12:57427073-57430001"	"chr12:57427073-57430001"	"chr12"	57427073	57430001	""
"chr12:57430002-57431207"	"chr12:57430002-57431207"	"chr12"	57430002	57431207	"R3HDM2"
"chr12:57517876-57518761"	"chr12:57517876-57518761"	"chr12"	57517876	57518761	"MBD6"
"chr12:57147581-57147745"	"chr12:57147581-57147745"	"chr12"	57147581	57147745	"LRP1-AS"
"chr12:57147746-57149212"	"chr12:57147746-57149212"	"chr12"	57147746	57149212	"LRP1-AS"
"chr12:57149213-57149639"	"chr12:57149213-57149639"	"chr12"	57149213	57149639	"LRP1-AS"
"chr12:57222157-57228567"	"chr12:57222157-57228567"	"chr12"	57222157	57228567	"SHMT2"
"chr12:57228568-57231199"	"chr12:57228568-57231199"	"chr12"	57228568	57231199	"SHMT2"
"chr12:57231200-57234177"	"chr12:57231200-57234177"	"chr12"	57231200	57234177	""
"chr12:57189018-57195548"	"chr12:57189018-57195548"	"chr12"	57189018	57195548	"MIR1228"
"chr12:57297235-57301535"	"chr12:57297235-57301535"	"chr12"	57297235	57301535	""
"chr12:57132197-57135594"	"chr12:57132197-57135594"	"chr12"	57132197	57135594	"STAT6"
"chr12:57203201-57217522"	"chr12:57203201-57217522"	"chr12"	57203201	57217522	"NXPH4"
"chr12:57234903-57254729"	"chr12:57234903-57254729"	"chr12"	57234903	57254729	"NDUFA4L2;STAC3"
"chr12:57490485-57511941"	"chr12:57490485-57511941"	"chr12"	57490485	57511941	"ARHGAP9;MIR6758"
"chr12:57511942-57515393"	"chr12:57511942-57515393"	"chr12"	57511942	57515393	"MIR6758"
"chr12:57431208-57434263"	"chr12:57431208-57434263"	"chr12"	57431208	57434263	"R3HDM2;INHBC"
"chr12:57544299-57562527"	"chr12:57544299-57562527"	"chr12"	57544299	57562527	"DCTN2;KIF5A"
"chr12:57634995-57643880"	"chr12:57634995-57643880"	"chr12"	57634995	57643880	"B4GALNT1"
"chr12:57671555-57674376"	"chr12:57671555-57674376"	"chr12"	57671555	57674376	""
"chr12:57674377-57679314"	"chr12:57674377-57679314"	"chr12"	57674377	57679314	""
"chr12:57687505-57694039"	"chr12:57687505-57694039"	"chr12"	57687505	57694039	"OS9"
"chr12:57694040-57698636"	"chr12:57694040-57698636"	"chr12"	57694040	57698636	"OS9"
"chr12:57714934-57726382"	"chr12:57714934-57726382"	"chr12"	57714934	57726382	"AGAP2-AS1"
"chr12:57734750-57736942"	"chr12:57734750-57736942"	"chr12"	57734750	57736942	"TSPAN31"
"chr12:57726437-57734749"	"chr12:57726437-57734749"	"chr12"	57726437	57734749	"AGAP2-AS1"
"chr12:57736943-57744184"	"chr12:57736943-57744184"	"chr12"	57736943	57744184	"TSPAN31;AGAP2"
"chr12:57760820-57770801"	"chr12:57760820-57770801"	"chr12"	57760820	57770801	"CYP27B1;EEF1AKMT3"
"chr12:57770802-57771392"	"chr12:57770802-57771392"	"chr12"	57770802	57771392	"CYP27B1;EEF1AKMT3"
"chr12:57771393-57774542"	"chr12:57771393-57774542"	"chr12"	57771393	57774542	"EEF1AKMT3;METTL1"
"chr12:57794768-57803442"	"chr12:57794768-57803442"	"chr12"	57794768	57803442	""
"chr12:57964991-57968818"	"chr12:57964991-57968818"	"chr12"	57964991	57968818	""
"chr12:58097685-58099151"	"chr12:58097685-58099151"	"chr12"	58097685	58099151	""
"chr12:58099152-58100780"	"chr12:58099152-58100780"	"chr12"	58099152	58100780	""
"chr12:58084867-58085921"	"chr12:58084867-58085921"	"chr12"	58084867	58085921	"LINC02403"
"chr12:58101180-58107249"	"chr12:58101180-58107249"	"chr12"	58101180	58107249	""
"chr12:57977502-57980198"	"chr12:57977502-57980198"	"chr12"	57977502	57980198	""
"chr12:57980199-57980880"	"chr12:57980199-57980880"	"chr12"	57980199	57980880	""
"chr12:56480354-56488962"	"chr12:56480354-56488962"	"chr12"	56480354	56488962	"GLS2"
"chr12:58242189-58245642"	"chr12:58242189-58245642"	"chr12"	58242189	58245642	""
"chr12:76348362-76349350"	"chr12:76348362-76349350"	"chr12"	76348362	76349350	"BBS10"
"chr12:62999858-63001930"	"chr12:62999858-63001930"	"chr12"	62999858	63001930	""
"chr12:60212738-60214300"	"chr12:60212738-60214300"	"chr12"	60212738	60214300	""
"chr12:60266408-60273895"	"chr12:60266408-60273895"	"chr12"	60266408	60273895	""
"chr12:59808136-59814428"	"chr12:59808136-59814428"	"chr12"	59808136	59814428	""
"chr12:60087977-60093047"	"chr12:60087977-60093047"	"chr12"	60087977	60093047	""
"chr12:60093048-60093846"	"chr12:60093048-60093846"	"chr12"	60093048	60093846	""
"chr12:60214301-60222027"	"chr12:60214301-60222027"	"chr12"	60214301	60222027	""
"chr12:62395447-62401193"	"chr12:62395447-62401193"	"chr12"	62395447	62401193	""
"chr12:62545936-62548107"	"chr12:62545936-62548107"	"chr12"	62545936	62548107	""
"chr12:62604125-62610952"	"chr12:62604125-62610952"	"chr12"	62604125	62610952	"LINC01465"
"chr12:63149200-63156207"	"chr12:63149200-63156207"	"chr12"	63149200	63156207	"AVPR1A"
"chr12:63666134-63668909"	"chr12:63666134-63668909"	"chr12"	63666134	63668909	"DPY19L2"
"chr12:63839701-63842721"	"chr12:63839701-63842721"	"chr12"	63839701	63842721	"SRGAP1"
"chr12:63842722-63843560"	"chr12:63842722-63843560"	"chr12"	63842722	63843560	"SRGAP1"
"chr12:63843561-63845813"	"chr12:63843561-63845813"	"chr12"	63843561	63845813	"SRGAP1"
"chr12:63864229-63873807"	"chr12:63864229-63873807"	"chr12"	63864229	63873807	""
"chr12:63890138-63892884"	"chr12:63890138-63892884"	"chr12"	63890138	63892884	""
"chr12:64147068-64154049"	"chr12:64147068-64154049"	"chr12"	64147068	64154049	""
"chr12:64199157-64206412"	"chr12:64199157-64206412"	"chr12"	64199157	64206412	""
"chr12:64604843-64611811"	"chr12:64604843-64611811"	"chr12"	64604843	64611811	""
"chr12:64620171-64625336"	"chr12:64620171-64625336"	"chr12"	64620171	64625336	"MIR548C;MIR548Z"
"chr12:64648711-64655196"	"chr12:64648711-64655196"	"chr12"	64648711	64655196	""
"chr12:64655197-64656024"	"chr12:64655197-64656024"	"chr12"	64655197	64656024	""
"chr12:64656041-64656679"	"chr12:64656041-64656679"	"chr12"	64656041	64656679	""
"chr12:64625337-64634039"	"chr12:64625337-64634039"	"chr12"	64625337	64634039	""
"chr12:64656680-64659794"	"chr12:64656680-64659794"	"chr12"	64656680	64659794	""
"chr12:64570268-64575864"	"chr12:64570268-64575864"	"chr12"	64570268	64575864	""
"chr12:64220263-64225196"	"chr12:64220263-64225196"	"chr12"	64220263	64225196	"C12orf66"
"chr12:64392663-64394440"	"chr12:64392663-64394440"	"chr12"	64392663	64394440	"C12orf56"
"chr12:64394879-64402662"	"chr12:64394879-64402662"	"chr12"	64394879	64402662	"XPOT"
"chr12:64349503-64361998"	"chr12:64349503-64361998"	"chr12"	64349503	64361998	""
"chr12:65134043-65138572"	"chr12:65134043-65138572"	"chr12"	65134043	65138572	""
"chr12:65091121-65097580"	"chr12:65091121-65097580"	"chr12"	65091121	65097580	""
"chr12:64935653-64938934"	"chr12:64935653-64938934"	"chr12"	64935653	64938934	""
"chr12:64938935-64939809"	"chr12:64938935-64939809"	"chr12"	64938935	64939809	""
"chr12:65133749-65134042"	"chr12:65133749-65134042"	"chr12"	65133749	65134042	""
"chr12:66569950-66573221"	"chr12:66569950-66573221"	"chr12"	66569950	66573221	""
"chr12:64983336-64989471"	"chr12:64983336-64989471"	"chr12"	64983336	64989471	"LINC02231"
"chr12:66565452-66569949"	"chr12:66565452-66569949"	"chr12"	66565452	66569949	""
"chr12:66557884-66563075"	"chr12:66557884-66563075"	"chr12"	66557884	66563075	""
"chr12:65275878-65278542"	"chr12:65275878-65278542"	"chr12"	65275878	65278542	"MSRB3"
"chr12:65278543-65281424"	"chr12:65278543-65281424"	"chr12"	65278543	65281424	"MSRB3"
"chr12:65281425-65284355"	"chr12:65281425-65284355"	"chr12"	65281425	65284355	""
"chr12:65617979-65624625"	"chr12:65617979-65624625"	"chr12"	65617979	65624625	""
"chr12:65949839-65954135"	"chr12:65949839-65954135"	"chr12"	65949839	65954135	""
"chr12:66023020-66025523"	"chr12:66023020-66025523"	"chr12"	66023020	66025523	"MIR6074"
"chr12:67095561-67101014"	"chr12:67095561-67101014"	"chr12"	67095561	67101014	"LOC102724421"
"chr12:67748460-67755738"	"chr12:67748460-67755738"	"chr12"	67748460	67755738	""
"chr12:68331183-68334716"	"chr12:68331183-68334716"	"chr12"	68331183	68334716	"MDM1"
"chr12:68702441-68706061"	"chr12:68702441-68706061"	"chr12"	68702441	68706061	""
"chr12:69206633-69210702"	"chr12:69206633-69210702"	"chr12"	69206633	69210702	""
"chr12:68841267-68842548"	"chr12:68841267-68842548"	"chr12"	68841267	68842548	""
"chr12:68842767-68843417"	"chr12:68842767-68843417"	"chr12"	68842767	68843417	""
"chr12:68843418-68844781"	"chr12:68843418-68844781"	"chr12"	68843418	68844781	""
"chr12:68844782-68848281"	"chr12:68844782-68848281"	"chr12"	68844782	68848281	""
"chr12:68904701-68912975"	"chr12:68904701-68912975"	"chr12"	68904701	68912975	""
"chr12:68912976-68914353"	"chr12:68912976-68914353"	"chr12"	68912976	68914353	""
"chr12:68969114-68974804"	"chr12:68969114-68974804"	"chr12"	68969114	68974804	"CPM"
"chr12:69210703-69213611"	"chr12:69210703-69213611"	"chr12"	69210703	69213611	""
"chr12:68743315-68750154"	"chr12:68743315-68750154"	"chr12"	68743315	68750154	"SLC35E3"
"chr12:68625290-68627969"	"chr12:68625290-68627969"	"chr12"	68625290	68627969	"SNORA70G"
"chr12:68627970-68634250"	"chr12:68627970-68634250"	"chr12"	68627970	68634250	"SNORA70G"
"chr12:68639915-68644288"	"chr12:68639915-68644288"	"chr12"	68639915	68644288	""
"chr12:68644289-68644588"	"chr12:68644289-68644588"	"chr12"	68644289	68644588	""
"chr12:68681426-68685388"	"chr12:68681426-68685388"	"chr12"	68681426	68685388	"NUP107"
"chr12:68685389-68685954"	"chr12:68685389-68685954"	"chr12"	68685389	68685954	"NUP107"
"chr12:68685955-68689511"	"chr12:68685955-68689511"	"chr12"	68685955	68689511	"NUP107;LOC100507250"
"chr12:68689512-68692212"	"chr12:68689512-68692212"	"chr12"	68689512	68692212	"LOC100507250"
"chr12:68788200-68806258"	"chr12:68788200-68806258"	"chr12"	68788200	68806258	"MDM2"
"chr12:68806902-68809406"	"chr12:68806902-68809406"	"chr12"	68806902	68809406	"MDM2"
"chr12:68822289-68828979"	"chr12:68822289-68828979"	"chr12"	68822289	68828979	""
"chr12:68838918-68841266"	"chr12:68838918-68841266"	"chr12"	68838918	68841266	""
"chr12:69658048-69661330"	"chr12:69658048-69661330"	"chr12"	69658048	69661330	""
"chr12:69441530-69451094"	"chr12:69441530-69451094"	"chr12"	69441530	69451094	""
"chr12:69279529-69282740"	"chr12:69279529-69282740"	"chr12"	69279529	69282740	""
"chr12:69344301-69349147"	"chr12:69344301-69349147"	"chr12"	69344301	69349147	"LYZ"
"chr12:69274425-69279528"	"chr12:69274425-69279528"	"chr12"	69274425	69279528	"MIR1279"
"chr12:69661331-69666397"	"chr12:69661331-69666397"	"chr12"	69661331	69666397	""
"chr12:69798003-69801070"	"chr12:69798003-69801070"	"chr12"	69798003	69801070	""
"chr12:69801071-69811664"	"chr12:69801071-69811664"	"chr12"	69801071	69811664	""
"chr12:69822767-69823328"	"chr12:69822767-69823328"	"chr12"	69822767	69823328	"MYRFL"
"chr12:71116524-71120776"	"chr12:71116524-71120776"	"chr12"	71116524	71120776	""
"chr12:70323237-70329255"	"chr12:70323237-70329255"	"chr12"	70323237	70329255	""
"chr12:70220222-70223006"	"chr12:70220222-70223006"	"chr12"	70220222	70223006	""
"chr12:70223829-70229446"	"chr12:70223829-70229446"	"chr12"	70223829	70229446	""
"chr12:70235472-70241469"	"chr12:70235472-70241469"	"chr12"	70235472	70241469	"CNOT2"
"chr12:64866676-64878855"	"chr12:64866676-64878855"	"chr12"	64866676	64878855	""
"chr12:72276588-72278345"	"chr12:72276588-72278345"	"chr12"	72276588	72278345	"TRHDE-AS1"
"chr12:72278346-72281924"	"chr12:72278346-72281924"	"chr12"	72278346	72281924	"TRHDE-AS1"
"chr12:70637974-70643472"	"chr12:70637974-70643472"	"chr12"	70637974	70643472	"PTPRB"
"chr12:70668828-70674717"	"chr12:70668828-70674717"	"chr12"	70668828	70674717	""
"chr12:71636861-71638482"	"chr12:71636861-71638482"	"chr12"	71636861	71638482	""
"chr12:71660919-71663794"	"chr12:71660919-71663794"	"chr12"	71660919	71663794	"THAP2"
"chr12:71663795-71666324"	"chr12:71663795-71666324"	"chr12"	71663795	71666324	"THAP2"
"chr12:73140765-73143863"	"chr12:73140765-73143863"	"chr12"	73140765	73143863	""
"chr12:76982614-76984787"	"chr12:76982614-76984787"	"chr12"	76982614	76984787	""
"chr12:76984788-76985230"	"chr12:76984788-76985230"	"chr12"	76984788	76985230	""
"chr12:70468066-70468977"	"chr12:70468066-70468977"	"chr12"	70468066	70468977	""
"chr12:72058231-72058537"	"chr12:72058231-72058537"	"chr12"	72058231	72058537	""
"chr12:74727689-74729632"	"chr12:74727689-74729632"	"chr12"	74727689	74729632	""
"chr12:76985231-76986624"	"chr12:76985231-76986624"	"chr12"	76985231	76986624	""
"chr12:76349577-76362911"	"chr12:76349577-76362911"	"chr12"	76349577	76362911	"BBS10"
"chr12:76748013-76755980"	"chr12:76748013-76755980"	"chr12"	76748013	76755980	""
"chr12:76762735-76763262"	"chr12:76762735-76763262"	"chr12"	76762735	76763262	"ZDHHC17"
"chr12:76763263-76763939"	"chr12:76763263-76763939"	"chr12"	76763263	76763939	"ZDHHC17"
"chr12:75921593-75928465"	"chr12:75921593-75928465"	"chr12"	75921593	75928465	""
"chr12:75955285-75959699"	"chr12:75955285-75959699"	"chr12"	75955285	75959699	""
